번호,구분,제안자,요청 사항,작업 내용,수정 파일,해결됨
1,개발 개선,Brian Sungwook Jung,공지사항 아코디언,"공지사항 항목을 클릭하면 본문이 펼쳐지도록","각 항목에 expanded 상태 추가, 클릭 시 본문 토글 표시",components/AnnouncementsClient.tsx,
2,개발 개선,Brian Sungwook Jung,홈 일정 → 캘린더 이동,홈 화면 일정 항목 클릭 시 캘린더 페이지로 이동,이벤트 항목을 Link href="/calendar"로 감쌈,app/(app)/page.tsx,
3,개발 개선,Brian Sungwook Jung,캘린더 지난 일정 섹션,지난 일정을 모아보기 (최근일부터 역순),"하단에 지난 일정(N개) 토글 버튼 추가, 최근순 역순 표시",components/CalendarClient.tsx,
4,개발 개선,Brian Sungwook Jung,등록 완료 토스트 알림,제안 등록·해결 처리 후 완료 피드백 표시,"Toast/useToast 컴포넌트 신규, 제안 등록·해결 시 표시","components/Toast.tsx, components/SuggestionsClient.tsx",
5,개발 개선,Brian Sungwook Jung,채팅 메시지 수정·삭제,"본인 메시지 수정/삭제, admin은 모든 메시지 삭제 가능","수정(인라인 textarea), 삭제(soft delete). PATCH/DELETE API 신규 생성","components/chat/MessageItem.tsx, app/api/chat/[roomId]/messages/[messageId]/route.ts",
6,개발 개선,Brian Sungwook Jung,제안 게시판 해결됨·댓글 기능,"작성자가 해결됨 버튼으로 상태 변경, 의견 댓글 추가 가능","해결 토글 API, CommentSection 컴포넌트 신규. DB: suggestion_comments 테이블","components/SuggestionsClient.tsx, supabase/suggestion_comments_migration.sql",
7,버그 수정,Brian Sungwook Jung,모바일 등록 버튼 미표시 (iPhone 13),투표/제안 모달에서 iOS 키보드 올라오면 등록 버튼이 가려짐,"flex-col + 스크롤/버튼 영역 분리, maxHeight:80dvh + env(safe-area-inset-bottom) + 하단 패딩 64px","components/SuggestionsClient.tsx, components/VotesClient.tsx",
8,개발 개선,Brian Sungwook Jung,채팅 이모티콘 반응 (롱프레스),카톡처럼 메시지 길게 누르면 이모티콘 달기 가능,"500ms 롱프레스 감지 → 6개 퀵 리액션 팝업, 메시지 아래 배지 표시. DB: message_reactions 테이블","components/chat/MessageItem.tsx, supabase/message_reactions_migration.sql",
9,개발 개선,Brian Sungwook Jung,이모지 피커 그룹화 + 컬러,이모지 피커를 작가 컬러코드에 맞춰 그룹별 색상 적용,"4개 그룹(표정/행동/기타/심볼), 각 그룹 배경에 작가 팔레트 컬러",components/chat/MessageInput.tsx,
10,개발 개선,Brian Sungwook Jung,앱 로고 AI 텍스트 강조,AI 두 글자 폰트 크게·굵게·진한 컬러로 변경,"fontSize:2.4rem, fontWeight:900, color:#A78BFA (vivid violet)",app/(app)/page.tsx,
11,개발 개선,Brian Sungwook Jung,전체 페이지 헤더 컬러 강화,작가(Olivia Herrick) 팔레트로 각 페이지 헤더 색상 변경,"공지 coral #E07B54, 채팅 #2880A0, 캘린더 #7B6FC4, 제안 #8858B0, 멤버 gold, 투표 #2858A8, 설정 green",각 Client 컴포넌트 헤더,
12,개발 개선,Brian Sungwook Jung,전체 화면 글씨 크기 설정,설정에서 기본/크게 글씨 크기 선택 가능하도록,"FontSizeApplier 컴포넌트, html.font-large{font-size:17px} 적용, localStorage 저장","components/FontSizeApplier.tsx, components/SettingsClient.tsx, app/globals.css",
13,개발 개선,Brian Sungwook Jung,Design Inspiration 섹션 개선,"작품 아래 이탤릭 제목 삭제, 작가 홈페이지 URL 추가","이탤릭 p태그 제거, oliviaherrick.com 링크 버튼 추가",components/DesignInspirationSection.tsx,
